node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AIPL1	GUCA1A	9606.ENSP00000370521	9606.ENSP00000053469	0	0	0	0	0.092	0.053	0	0.757	0.773
AIPL1	RCVRN	9606.ENSP00000370521	9606.ENSP00000226193	0	0	0	0	0.139	0.053	0	0.588	0.635
AIPL1	GNAT1	9606.ENSP00000370521	9606.ENSP00000232461	0	0	0	0	0.175	0.071	0	0.488	0.573
AIPL1	GNGT1	9606.ENSP00000370521	9606.ENSP00000248572	0	0	0	0	0.136	0	0	0.457	0.511
AIPL1	PDE6A	9606.ENSP00000370521	9606.ENSP00000255266	0	0	0	0	0.128	0.046	0	0.675	0.706
AIPL1	ROM1	9606.ENSP00000370521	9606.ENSP00000278833	0	0	0	0	0.076	0	0	0.582	0.597
AIPL1	RHO	9606.ENSP00000370521	9606.ENSP00000296271	0	0	0	0	0.198	0	0	0.635	0.695
AIPL1	HSP90AA1	9606.ENSP00000370521	9606.ENSP00000335153	0	0	0	0	0	0.439	0	0.773	0.867
AIPL1	UNC119	9606.ENSP00000370521	9606.ENSP00000337040	0	0	0	0	0	0	0	0.755	0.755
AIPL1	NRL	9606.ENSP00000370521	9606.ENSP00000454062	0	0	0	0	0.074	0	0	0.575	0.589
APOE	JUN	9606.ENSP00000252486	9606.ENSP00000360266	0	0	0	0	0.047	0	0	0.543	0.545
APOE	TF	9606.ENSP00000252486	9606.ENSP00000385834	0	0	0	0	0.162	0	0	0.574	0.627
APOE	GAPDH	9606.ENSP00000252486	9606.ENSP00000380070	0	0	0	0	0.130	0	0	0.598	0.636
APOE	ITM2B	9606.ENSP00000252486	9606.ENSP00000497221	0	0	0	0	0.101	0	0.500	0.319	0.667
APOE	GPX3	9606.ENSP00000252486	9606.ENSP00000373477	0	0	0	0	0.145	0	0	0.681	0.715
APOE	CLU	9606.ENSP00000252486	9606.ENSP00000315130	0	0	0	0	0.241	0	0.720	0.997	0.999
CALM1	HSP90AA1	9606.ENSP00000499717	9606.ENSP00000335153	0	0	0	0	0.086	0.314	0.500	0.331	0.762
CLU	FOS	9606.ENSP00000315130	9606.ENSP00000306245	0	0	0	0	0.042	0.140	0	0.586	0.629
CLU	HSP90AA1	9606.ENSP00000315130	9606.ENSP00000335153	0	0	0	0	0.042	0.324	0	0.372	0.557
CLU	JUN	9606.ENSP00000315130	9606.ENSP00000360266	0	0	0	0	0.042	0	0	0.574	0.574
CLU	GAPDH	9606.ENSP00000315130	9606.ENSP00000380070	0	0	0	0	0.057	0	0	0.572	0.579
CLU	GPX3	9606.ENSP00000315130	9606.ENSP00000373477	0	0	0	0	0.103	0	0	0.570	0.597
CLU	RBP3	9606.ENSP00000315130	9606.ENSP00000463151	0	0	0	0	0.373	0	0	0.419	0.620
CLU	TF	9606.ENSP00000315130	9606.ENSP00000385834	0	0	0	0	0.130	0.238	0	0.487	0.630
CRABP1	RBP3	9606.ENSP00000299529	9606.ENSP00000463151	0	0	0	0	0	0	0	0.674	0.674
EEF1A1	RPS12	9606.ENSP00000339063	9606.ENSP00000230050	0	0	0	0	0.710	0.810	0.500	0.293	0.978
EEF1A1	RPS27A	9606.ENSP00000339063	9606.ENSP00000272317	0	0	0	0	0.548	0.876	0.500	0.500	0.984
EEF1A1	RPL13	9606.ENSP00000339063	9606.ENSP00000307889	0	0	0	0	0.761	0.867	0.500	0.503	0.991
EEF1A1	HSP90AA1	9606.ENSP00000339063	9606.ENSP00000335153	0	0	0	0	0.473	0.304	0	0.726	0.891
EEF1A1	FTL	9606.ENSP00000339063	9606.ENSP00000366525	0	0	0	0	0.318	0	0	0.321	0.517
EEF1A1	PTMA	9606.ENSP00000339063	9606.ENSP00000344547	0	0	0	0	0.414	0	0	0.247	0.540
EEF1A1	RPL41	9606.ENSP00000339063	9606.ENSP00000449026	0	0	0	0	0.261	0.363	0.500	0.340	0.823
EEF1A1	TPT1	9606.ENSP00000339063	9606.ENSP00000477781	0	0	0	0	0.663	0.592	0	0.666	0.950
EEF1A1	RPLP1	9606.ENSP00000339063	9606.ENSP00000346037	0	0	0	0	0.682	0.602	0.500	0.431	0.959
EEF1A1	RPL28	9606.ENSP00000339063	9606.ENSP00000452763	0	0	0	0	0.576	0.800	0.500	0.322	0.967
EEF1A1	RPL34	9606.ENSP00000339063	9606.ENSP00000378163	0.045	0	0	0	0.656	0.800	0.500	0.166	0.967
EEF1A1	RPL37A	9606.ENSP00000339063	9606.ENSP00000418082	0	0	0	0	0.455	0.867	0.500	0.245	0.969
EEF1A1	GAPDH	9606.ENSP00000339063	9606.ENSP00000380070	0	0	0	0	0.341	0.624	0	0.898	0.972
EEF1A1	RPS28	9606.ENSP00000339063	9606.ENSP00000472469	0	0	0	0	0.697	0.800	0.500	0.225	0.973
EEF1A1	RPS14	9606.ENSP00000339063	9606.ENSP00000385958	0	0	0	0	0.593	0.861	0.500	0.253	0.976
EEF1A1	RPL10	9606.ENSP00000339063	9606.ENSP00000413436	0	0	0	0	0.628	0.800	0.500	0.457	0.977
EEF1A1	RPS13	9606.ENSP00000339063	9606.ENSP00000435777	0	0	0	0	0.619	0.849	0.500	0.337	0.978
EEF1A1	RPL21	9606.ENSP00000339063	9606.ENSP00000346027	0	0	0	0	0.722	0.834	0.500	0.209	0.979
EEF1A1	RPS27	9606.ENSP00000339063	9606.ENSP00000499044	0	0	0	0	0.475	0.890	0.500	0.378	0.979
EEF1A1	RPS15	9606.ENSP00000339063	9606.ENSP00000466010	0	0	0	0	0.609	0.811	0.500	0.522	0.980
EEF1A1	RPL32	9606.ENSP00000339063	9606.ENSP00000416429	0	0	0	0	0.550	0.867	0.500	0.577	0.985
EEF1A1	RPS18	9606.ENSP00000339063	9606.ENSP00000393241	0	0	0	0	0.655	0.810	0.500	0.646	0.986
EEF1A1	RPL11	9606.ENSP00000339063	9606.ENSP00000496250	0	0.015	0	0	0.749	0.834	0.500	0.457	0.987
EEF1A1	RPL30	9606.ENSP00000339063	9606.ENSP00000428085	0.120	0	0	0	0.751	0.854	0.500	0.364	0.988
EEF1A1	RPL13A	9606.ENSP00000339063	9606.ENSP00000375730	0	0	0	0	0.803	0.800	0.500	0.518	0.989
