node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AIPL1	GUCA1A	9606.ENSP00000370521	9606.ENSP00000053469	0	0	0	0	0.092	0.053	0	0.757	0.773
AIPL1	RCVRN	9606.ENSP00000370521	9606.ENSP00000226193	0	0	0	0	0.139	0.053	0	0.588	0.635
AIPL1	GNAT1	9606.ENSP00000370521	9606.ENSP00000232461	0	0	0	0	0.175	0.071	0	0.488	0.573
AIPL1	GNGT1	9606.ENSP00000370521	9606.ENSP00000248572	0	0	0	0	0.136	0	0	0.457	0.511
AIPL1	PDE6A	9606.ENSP00000370521	9606.ENSP00000255266	0	0	0	0	0.128	0.046	0	0.675	0.706
AIPL1	ROM1	9606.ENSP00000370521	9606.ENSP00000278833	0	0	0	0	0.076	0	0	0.582	0.597
AIPL1	RHO	9606.ENSP00000370521	9606.ENSP00000296271	0	0	0	0	0.198	0	0	0.635	0.695
AIPL1	HSP90AA1	9606.ENSP00000370521	9606.ENSP00000335153	0	0	0	0	0	0.439	0	0.773	0.867
AIPL1	UNC119	9606.ENSP00000370521	9606.ENSP00000337040	0	0	0	0	0	0	0	0.755	0.755
AIPL1	CNGA1	9606.ENSP00000370521	9606.ENSP00000384264	0	0	0	0	0.060	0	0	0.512	0.521
AIPL1	NRL	9606.ENSP00000370521	9606.ENSP00000454062	0	0	0	0	0.074	0	0	0.575	0.589
APOE	CRYAB	9606.ENSP00000252486	9606.ENSP00000433560	0	0	0	0	0.097	0	0	0.494	0.523
APOE	JUN	9606.ENSP00000252486	9606.ENSP00000360266	0	0	0	0	0.047	0	0	0.543	0.545
APOE	TF	9606.ENSP00000252486	9606.ENSP00000385834	0	0	0	0	0.162	0	0	0.574	0.627
APOE	GAPDH	9606.ENSP00000252486	9606.ENSP00000380070	0	0	0	0	0.130	0	0	0.598	0.636
APOE	ITM2B	9606.ENSP00000252486	9606.ENSP00000497221	0	0	0	0	0.101	0	0.500	0.319	0.667
APOE	GPX3	9606.ENSP00000252486	9606.ENSP00000373477	0	0	0	0	0.145	0	0	0.681	0.715
APOE	CLU	9606.ENSP00000252486	9606.ENSP00000315130	0	0	0	0	0.241	0	0.720	0.997	0.999
CALM1	DST	9606.ENSP00000499717	9606.ENSP00000307959	0	0	0	0	0.052	0.429	0	0.639	0.788
CALM1	HSP90AA1	9606.ENSP00000499717	9606.ENSP00000335153	0	0	0	0	0.086	0.314	0.500	0.331	0.762
CALM1	CAMK2B	9606.ENSP00000499717	9606.ENSP00000379098	0	0	0	0	0.061	0.952	0.800	0.360	0.993
CALM1	CNGA1	9606.ENSP00000499717	9606.ENSP00000384264	0	0	0	0	0	0	0.500	0.121	0.541
CAMK2B	SYT1	9606.ENSP00000379098	9606.ENSP00000261205	0	0	0	0	0.124	0	0	0.496	0.539
CLU	FOS	9606.ENSP00000315130	9606.ENSP00000306245	0	0	0	0	0.042	0.140	0	0.586	0.629
CLU	HSP90AA1	9606.ENSP00000315130	9606.ENSP00000335153	0	0	0	0	0.042	0.324	0	0.372	0.557
CLU	JUN	9606.ENSP00000315130	9606.ENSP00000360266	0	0	0	0	0.042	0	0	0.574	0.574
CLU	GAPDH	9606.ENSP00000315130	9606.ENSP00000380070	0	0	0	0	0.057	0	0	0.572	0.579
CLU	GPX3	9606.ENSP00000315130	9606.ENSP00000373477	0	0	0	0	0.103	0	0	0.570	0.597
CLU	RBP3	9606.ENSP00000315130	9606.ENSP00000463151	0	0	0	0	0.373	0	0	0.419	0.620
CLU	TF	9606.ENSP00000315130	9606.ENSP00000385834	0	0	0	0	0.130	0.238	0	0.487	0.630
CNGA1	GUCA1A	9606.ENSP00000384264	9606.ENSP00000053469	0	0	0	0	0.077	0	0.500	0.519	0.758
CNGA1	RCVRN	9606.ENSP00000384264	9606.ENSP00000226193	0	0	0	0	0.109	0	0	0.561	0.592
CNGA1	GNAT1	9606.ENSP00000384264	9606.ENSP00000232461	0	0	0	0	0.074	0	0.500	0.566	0.781
CNGA1	GNGT1	9606.ENSP00000384264	9606.ENSP00000248572	0	0	0	0	0.056	0	0	0.636	0.642
CNGA1	PDE6A	9606.ENSP00000384264	9606.ENSP00000255266	0	0	0	0	0.095	0.071	0.500	0.851	0.929
CNGA1	ROM1	9606.ENSP00000384264	9606.ENSP00000278833	0	0	0	0	0.103	0	0	0.768	0.783
CNGA1	RHO	9606.ENSP00000384264	9606.ENSP00000296271	0	0	0	0	0.119	0	0	0.782	0.800
CNGA1	PDE6G	9606.ENSP00000384264	9606.ENSP00000328412	0	0	0	0	0.074	0	0.500	0.797	0.898
CNGA1	RGR	9606.ENSP00000384264	9606.ENSP00000352427	0	0	0	0	0.087	0	0	0.484	0.509
CNGA1	NRL	9606.ENSP00000384264	9606.ENSP00000454062	0	0	0	0	0.042	0	0	0.710	0.710
CRABP1	RBP3	9606.ENSP00000299529	9606.ENSP00000463151	0	0	0	0	0	0	0	0.674	0.674
CRYAB	HSP90AA1	9606.ENSP00000433560	9606.ENSP00000335153	0	0	0	0	0.103	0	0.400	0.532	0.726
CRYAB	VIM	9606.ENSP00000433560	9606.ENSP00000446007	0	0	0	0	0.114	0.045	0	0.656	0.684
DST	MAP1B	9606.ENSP00000307959	9606.ENSP00000296755	0	0	0	0	0.174	0	0	0.570	0.629
EEF1A1	RPL18A	9606.ENSP00000339063	9606.ENSP00000222247	0	0	0	0	0.853	0.915	0.500	0.545	0.996
EEF1A1	RPL19	9606.ENSP00000339063	9606.ENSP00000225430	0	0	0	0	0.699	0.800	0.500	0.513	0.983
EEF1A1	RPS12	9606.ENSP00000339063	9606.ENSP00000230050	0	0	0	0	0.710	0.810	0.500	0.293	0.978
EEF1A1	RPL8	9606.ENSP00000339063	9606.ENSP00000262584	0	0	0	0	0.638	0.800	0.500	0.673	0.986
EEF1A1	RPS11	9606.ENSP00000339063	9606.ENSP00000270625	0	0	0	0	0.814	0.841	0.500	0.548	0.992
EEF1A1	RPS27A	9606.ENSP00000339063	9606.ENSP00000272317	0	0	0	0	0.548	0.876	0.500	0.500	0.984
EEF1A1	RPL37	9606.ENSP00000339063	9606.ENSP00000274242	0	0	0	0	0.314	0.867	0.500	0.199	0.958
